Ticker,PBRatio,profitMargin,PEGRatio,dividendyield,returnonequity,DERatio,PIRatio,,index
MCO,52.1185,0.334,2.5368,0.0079,1.9209,9.664745437,0.332482692,6.029957558,2.089832187
MA,52.5131,0.4512,1.7333,0.0048,1.2561,3.953477589,0.43741788,5.309796353,1.965294167
LMT,28.8038,0.1025,1.8242,0.0271,1.9303,12.21460944,0.498608598,4.184825787,1.900847596
ABBV,10.3517,0.192,1.2788,0.056,2.2562,9.164944248,0.956361707,2.471686945,1.894496129
APAM,29.771,0.2041,1.38,0.0559,1.5566,6.865359326,1.319982095,3.771190597,1.850071488
FICO,51.2942,0.1892,2.71,0,0.8994,5.325145783,0.337837965,5.430640218,1.836392498
HRB,24.8686,0.0757,0.5333,0.0589,1.1521,35.94224443,1.966148981,5.478397432,1.712949071
MANH,43.3903,0.1416,3.6403,0,0.5568,1.30372174,0.544400391,4.648537786,1.704352724
AAPL,27.4419,0.2133,2.8636,0.0071,0.6925,3.390359979,0.462505342,3.382825439,1.644994447
ORCL,19.1262,0.2613,1.5566,0.0159,0.703,10.89516384,0.959691165,3.074772047,1.608877069
HNP,0.3227,0.0212,0.742,0.0496,0.0381,2.454165457,33.32375403,4.41604372,1.606701478
AMGN,12.9134,0.3004,1.5203,0.0277,0.6805,5.099165025,0.985498741,2.111625051,1.580807121
SYY,29.2552,0.0041,1.9828,0.028,0.1155,18.53047825,12.79952007,5.861784669,1.580673001
HSY,17.7844,0.135,4.5639,0.0218,0.62,4.080156021,0.578814764,3.062174253,1.573581901
ADBE,20.5936,0.3105,2.3997,0,0.3518,0.913600273,0.342519879,2.457646407,1.546433164
V,14.098,0.5137,2.3617,0.0061,0.3334,1.192433285,0.472536517,1.996351045,1.545845156
GSK,5.1899,0.1908,7.32,0.0522,0.6364,5.226734349,0.442686363,2.807325111,1.541454444
KO,12.2913,0.2677,4.1822,0.0331,0.4664,4.318233814,0.363439536,2.516187449,1.534010421
EXR,6.2278,0.3199,20.8043,0.0315,0.1664,2.434819358,-0.023564923,5.771457758,1.527905516
MSFT,14.0512,0.3096,2.5959,0.0105,0.4014,1.54692149,0.360944957,2.045255114,1.525784764
PEP,14.5268,0.1027,3.7785,0.0293,0.51,5.818141363,0.430962383,2.708098795,1.523971954
PEP,14.5268,0.1027,3.7785,0.0293,0.51,5.818141363,0.430962383,2.708098795,1.523971954
LULU,23.0274,0.1394,3.1513,0,0.3075,0.746051426,0.260747363,2.773281798,1.522938609
ZTO,4.1348,0.2433,23.96,0.0104,0.1481,0.246869861,0.22752403,6.198032472,1.517005805
CYD,0.5972,0.0298,1,0.0441,0.0758,1,22.15074668,3.051085602,1.508561515
