Ticker,PBRatio,profitMargin,PEGRatio,dividendyield,returnonequity,DERatio,PIRatio,index
BWA,2.1004,0.0508,1.2374,0.0172,0.1073,1.2088484059856863,30.576546326709323,1.2314146393530232
BBW,0.852,-0.1329,0.55,0.0,-0.4869,0.2,1,0.710629706594872
BURL,55.2372,-0.0134,3.5133,0.0,-0.2692,0.2,1,0.8558672066989237
KMX,3.9125,0.0354,2.2867,0.0,0.1817,4.334836386645776,-39.34541071201199,1.0683575725130072
CAKE,4.0911,-0.0584,5.2586,0.0788,-0.2333,0.2,1,0.808713777632135
CAAS,0.3284,0.0051,0.61,0.0,0.0006,1.187860497508884,-7.576708787212397,0.8807013371577603
CMG,21.0351,0.0455,2.3997,0.0,0.1576,0.2,1,0.9150289032574814
CMCSA,2.4749,0.1091,1.2887,0.0205,0.1419,2.0901284473891932,35.0488839261458,1.3802739550456917
CORE,2.2607,0.0045,2.72,0.0162,0.1017,0.2,1,0.8788730063527059
COST,8.9158,0.024,4.5532,0.0076,0.2367,2.0154780135637718,124.22918087844778,3.5168023320409536
DJCO,3.1647,-0.8089,0.0,0.0,-0.3104,0.8019989440914636,15.538712708873943,0.7946991215509671
DG,7.4811,0.0748,1.7419,0.0065,0.3317,2.513755237000839,72.28206202797666,2.027212906199859
DLTR,3.2613,0.0361,1.5085,0.0,0.1401,0.2,1,0.8887093784750761
DPZ,0.0,0.1198,2.1551,0.008,0.0,0.2,1,0.8719660541858896
FL,1.6521,0.0262,-71.36,0.0158,0.0789,1.8764044943820224,42.7510738182777,1.2809539351307602
F,0.9486,-0.0163,0.522,0.1117,-0.0634,0.2,1,0.8433233024051254
GPS,3.2849,-0.0739,4.1492,0.1398,-0.3532,5.087882822902796,20.611523365994895,1.383847962369425
GM,1.171,0.0146,0.7455,0.0677,0.0359,0.2,1,0.8663233312171112
HRB,24.8258,0.0757,0.5324,0.0597,1.1521,35.9422444317955,35.30663759050695,4.710683889739622
HOG,2.6445,0.0172,124.5333,0.0029,0.0439,7.080136477993231,47.73169783770889,2.6172694718721137
HAS,4.6285,0.0758,2.5861,0.0305,0.1732,0.2,1,0.9118801441615808
HIBB,2.6514,0.0256,7.81,0.0,0.0972,0.2,1,0.8943970630746235
HMC,0.5658,0.0155,0.0,0.017,0.0289,1.5508779539942974,7614.664765007012,7.840096413500674e+48
H,1.6188,0.1604,15.5121,0.0154,0.0779,0.2,1,0.9391443234588177
IMAX,1.5566,-0.1891,2.09,0.0,-0.1013,1.2361727841518177,11.272609815378333,0.9633702102402628
LE,1.3318,0.0091,4.02,0.0,0.0396,2.3813002256531006,-0.9279452794985398,1.0514245034442224
LVS,9.3874,0.0395,2.3127,0.0688,0.0749,4.615591397849462,252.7180257918742,20.405312938666405
LCII,3.5727,0.0454,1.09,0.0259,0.1351,1.471466882186547,88.26728870577715,2.2378375393552745
LULU,22.0069,0.1394,2.7714,0.0,0.3075,0.7460514256644589,94.83233325184221,2.421950653890407
