Ticker,PBRatio,profitMargin,PEGRatio,dividendyield,returnonequity,DERatio,PIRatio,index
ANF,1.6606,-0.0355,-24.52,0.069,-0.1177,3.1068537051264706,1.1694172352445786,-5.3840136353605335
ATV,0.9046,0.2595,1,0.0483,0.1589,0.20276122703469446,-2.3769215443409957,0.12245431284185608
AMZN,18.7874,0.0499,1.1979,0.0,0.2495,2.4089882210812443,1.1464875869554259,2.178669568121151
AEO,3.0779,-0.055,38.27,0.0074,-0.1787,2.6356107826435515,0.7774047896003544,9.691517437363526
APTV,4.469,0.1394,3.1256,0.0176,0.3084,1.2073882928154285,0.3610446448280237,1.3336764208045973
BNED,0.4755,-0.0304,1.1,0.0,-0.133,2.655322098002031,1,0.6030017678401626
BBBY,1.6187,-0.0191,1.1134,0.1794,-0.1046,3.3836564117552776,1,0.7849565129404222
BBY,7.1347,0.0379,1.8276,0.0195,0.479,3.608787718369508,0.6027546735542678,1.474637578296073
BWA,2.0103,0.0411,1.19,0.0172,0.0883,1.2896783687197815,0.8896439505234931,0.6826555435604018
BBW,1.1979,-0.1329,0.55,0.0,-0.4869,3.919097827083524,-149.7656582292043,-17.549163161337834
BURL,51.2168,-0.0292,3.4974,0.0,-0.4901,23.10807604265535,17.195965697265734,8.746189967084318
KMX,3.9294,0.0354,1.6605,0.0,0.1817,4.334836386645776,-0.47788388166467616,1.0443168451319012
CAKE,5.2646,-0.0812,5.1074,0.0788,-0.3233,4.313890214617758,0.8932875742748283,2.0310537260824
CAAS,0.403,-0.0001,0.61,0.0,-0.0082,1.211867586169262,-2.4133075642578596,-0.015663500817402153
CMG,20.111,0.0408,2.2526,0.0,0.1384,2.119009562546453,1.6668977424112035,2.5532604940930614
CMCSA,2.7502,0.099,1.4173,0.0178,0.1236,2.104634701076866,0.8764995184327384,0.876414718298078
CORE,2.2831,0.0045,2.72,0.0165,0.0998,2.2525056579372777,0.3815751080535982,1.084097465601414
COST,9.3726,0.024,4.209,0.0072,0.2367,2.0154780135637718,0.30007409196378076,2.0092591321207554
DJCO,3.4412,-0.8089,1,0.0,-0.3104,0.8019989440914636,0.05729825107442731,0.39482770565624836
DG,7.3805,0.0748,1.6613,0.0066,0.3317,2.513755237000839,0.3349780573228605,1.3095497858388103
DLTR,3.775,0.0384,1.7354,0.0,0.1471,1.9668012239444916,0.5941475374392993,0.9827018024082752
DPZ,0.0,0.1198,2.1383,0.008,0.0,-1.5047274960135835,(0.3050677963717613+0.0015239446678268103j),(0.44954993588352465+0.00018287336013921723j)
FL,1.5009,0.0441,-71.36,0.0157,0.1315,1.8764044943820224,1.1245565007730411,-16.68602886035667
F,1.0497,-0.0012,0.4167,0.1117,-0.0046,6.847335849056604,267676333147961.0,32121159977756.062
GPS,3.4311,-0.0771,4.1492,0.1398,-0.3607,5.061999156474061,1.066332452301737,1.7355158267941335
GM,1.4881,0.0293,0.7655,0.0677,0.0689,4.5298908654622645,2.532329394073825,0.9956307965258402
HRB,27.0931,0.0757,0.581,0.0547,1.1521,35.9422444317955,2.083903538047279,5.681431979109314
HOG,3.5412,0.0253,13.5357,0.002,0.0617,6.080789401423133,2.0948780767415314,4.286340521322835
HAS,4.552,0.0744,2.7264,0.0295,0.1655,2.8462345754900134,0.6769736078390256,1.3759755989798843
HIBB,1.9901,0.0416,7.81,0.0,0.1588,1.083288446541841,0.6785428306331058,2.24011221539932
HMC,0.6444,0.019,23.4675,0.028,0.0335,1.5486233111332133,70.00397903617576,14.221219349231749
H,2.2207,-0.1413,15.5121,0.0154,-0.0503,1.7537313432835822,0.8323131289362675,4.1099160829350385
IMAX,2.2846,-0.5083,2.09,0.0,-0.213,1.336829357577338,1.005490251702359,0.7880451788104701
LE,2.1519,0.0091,4.02,0.0,0.0396,2.3813002256531006,-0.09701961594297594,1.3251896641390908
LVS,13.5001,-0.1267,2.4925,0.0688,-0.19,5.5589246639574865,5.07342684834927,2.6817171949185115
LCII,3.6561,0.0538,1.09,0.0236,0.1676,1.4106608098569833,0.6474590836696089,0.7895959548289117
LULU,23.3002,0.1394,3.4969,0.0,0.3075,0.7460514256644589,0.2443465341611876,2.8760816981524995
LYFT,6.1885,-0.5871,1,0.0,-0.6613,1.4803296701650897,1,0.7473103736132073
M,0.9331,-0.1917,0.9128,0.2682,-0.907,6.579173838209983,5.5617446711447185,1.307575267594165
MAR,183.0137,0.0588,4.7796,0.0272,0.3299,108.81659388646288,6.645460710506571,25.369634796177817
MAT,13.7149,-0.0008,3.23,0.0,-0.0087,12.85413602236797,1,3.0188548817894376
MCD,0.0,0.2588,3.1372,0.0236,0.0,-6.984266002525938,(0.36827791494941947+0.0003046929746402692j),(0.2826200695918553+3.6563156956832306e-05j)
MOV,1.0628,-0.2664,1.16,0.0748,-0.3014,0.7990856438377275,2.7923861439946154,0.668509188786372
EDU,9.4241,0.1085,1.4107,0.0,0.1041,1.4228462604427543,1.1168658664183424,1.3785276048056214
NKE,22.8479,0.0721,1.9826,0.0082,0.292,2.6055941023417173,0.9211870505089388,2.6935659742484104
NCLH,1.7914,-1.1459,0.9247,0.0,-0.6085,3.2571020454693347,0.36286631658180696,0.36430812162736365
PZZA,0.0,0.0242,4.7495,0.011,0.0,-3.7796433775064178,(0.7252500381200313+0.00134315570464359j),(0.9297305343738902+0.0001611786845572308j)
PLNT,0.0,0.0141,1.69,0.0,0.0,-3.508031949929547,(4685354325.825188+0.0013652514478167705j),(562242519.226236+0.00016383017373801246j)
RLH,0.4567,-0.346,-1.33,0.0,-0.1532,0.20565141792266728,1,-0.23221188656618663
REV,0.0,-0.1818,1,0.0,0.0,-2.8783877692842252,1,0.10064097845726197
RBA,7.6758,0.1303,2.83,0.0129,0.1914,1.6451603153361598,0.44697652140647715,1.53919000779567
SIRI,0.0,0.1328,1.4246,0.0089,0.0,-12.747530186608122,(1.0784625845829916+0.0003496009293518827j),(-0.5261669047786908+4.1952111522225923e-05j)
SWBI,1.9953,-0.0129,1,0.0128,-0.0244,0.5058835642295768,1,0.554686685138366
SBUX,0.0,0.0395,1.5168,0.0182,0.0,-4.762770496214014,(8.799377699468435+0.0004633260507928468j),(1.047439684239091+5.559912609514161e-05j)
SFIX,9.2228,-0.0392,1,0.0,-0.1684,0.9185985333024135,1,1.131359882664193
TAL,16.2354,0.0071,1.84,0.0,0.0037,1.4780921100082667,1.5021559142344077e+17,1.8025870970812892e+16
TGT,6.7591,0.0431,1.8258,0.0151,0.3074,2.816186993162665,0.6892940715967536,1.3571182480446236
TSLA,28.9503,0.0197,0.9717,0.0,0.0559,1.7964568648244028,-1425751917480095.2,-171090230097608.72
TXRH,5.8292,0.0219,2.8249,0.0321,0.0644,1.4060089753642642,1.136186424014063,1.4133710889108286
TCS,1.5955,0.0212,1.71,0.0,0.0673,2.830187179176965,-0.48833038109371135,0.7227073286029119
EL,19.9655,0.0438,3.7055,0.0086,0.1379,3.021338724168913,2.1840882564653437,3.0259776887093546
DIS,3.2233,-0.0438,18.4371,0.0,-0.0244,1.4113635547898495,0.2881164207277389,4.818363054870517
WEN,9.5271,0.0777,3.4237,0.0126,0.1804,8.516185874390022,0.3431828394170987,2.356356810681254
TIF,4.9944,0.0784,4.8816,0.0176,0.0895,1.122704456415279,0.5000770744898493,1.753517605452004
