Ticker,PBRatio,profitMargin,PEGRatio,dividendyield,returnonequity,DERatio,PIRatio,index
ANF,1.2108,-0.0461,-24.52,0.069,-0.1601,3.106853705,1.169619721,(31.619925666248143+0.11671897996676336j)
AEO,2.5585,-0.0486,38.27,0.0097,-0.1665,2.635610783,0.77740479,(1.2677256520990152+0.00017047477762659088j)
APTV,3.8197,0.1363,3.087,0.0176,0.3122,1.174589455,0.341687681,(-1.085454245291082+3.204640844466028e-05j)
BBY,8.1767,0.0375,2.0488,0.0182,0.4613,3.608787718,0.614881843,(0.544881087766101+6.042686390761025e-05j)
BWA,2.0495,0.0508,1.1744,0.0176,0.1073,1.208848406,0.776993341,(0.5026885413249366+0.00020217995105052664j)
CAKE,3.9852,-0.0584,5.1225,0.0788,-0.2333,4.156906016,0.895669777,2.03633E+12
CMCSA,2.4645,0.1091,1.2832,0.0208,0.1419,2.090128447,0.784565926,267.9167097
CORE,2.2191,0.0045,2.72,0.0165,0.1017,2.314740369,0.371793899,43.10207033
COST,9.2073,0.024,4.5473,0.0075,0.2367,2.015478014,0.287379019,37.15439079
DG,7.5058,0.0748,1.7012,0.0066,0.3317,2.513755237,0.335085172,27.28546806
FL,1.6547,0.0262,-71.36,0.0158,0.0789,1.876404494,1.114725285,14.52580528
F,0.99,-0.0163,0.5063,0.1117,-0.0634,7.737834155,3.9452E+13,9.653705437
GPS,3.2036,-0.0739,4.1492,0.1398,-0.3532,5.087882823,1.067401521,9.304858611
GM,1.2179,0.0146,0.7754,0.0677,0.0359,4.936952982,3.927118982,7.707313511
HRB,24.8686,0.0757,0.5333,0.0589,1.1521,35.94224443,1.966148981,7.669050788
HOG,2.6794,0.0172,126.1778,0.0028,0.0439,7.080136478,1.662551251,6.429133107
HAS,4.6095,0.0758,2.5756,0.0314,0.1732,2.874948062,0.651611316,6.198032472
H,1.5593,0.1604,15.5121,0.0154,0.0779,1.457593123,0.897888321,5.861784669
LVS,9.3155,0.0395,2.295,0.0688,0.0749,4.615591398,5.584596553,5.430640218
LCII,3.6306,0.0454,1.09,0.0255,0.1351,1.471466882,0.754722027,5.309796353
M,0.8223,-0.1764,0.9128,0.2682,-0.8499,6.579173838,5.561744671,4.905928313
MAR,37.9611,0.1199,4.5252,0.0272,0.7976,-236.2531646,(0.969075126408569+3.9560376042102765e-05j),4.648537786
MCD,0,0.2495,3.6606,0.0228,0,-4.958533673,(0.3625151041988687+0.00033333755461660683j),4.645622723
MOV,0.6812,-0.2439,1.16,0.0748,-0.3079,0.81895036,2.793231196,4.41604372
NKE,21.7842,0.0721,1.8903,0.0077,0.292,2.605594102,0.893895827,4.184825787
NCLH,1.0232,-0.4346,0.9247,0,-0.3861,3.041493651,0.416066961,4.115094048
PZZA,0,0.0161,4.1692,0.0116,0,-2.572051422,(3.9076147155624894+0.0014206231468882574j),3.960796884
PLNT,0,0.0718,1.69,0,0,-3.510765196,(7.818752128532844+0.001393996955355378j),3.771190597
RLH,0.3856,-0.2742,-1.33,0,-0.1711,0.18193885,1,3.633943832
REV,0,-0.1715,1,0,0,-2.936906684,1,3.633665274
RBA,7.6814,0.1189,2.83,0.0141,0.1756,1.750957117,0.468727787,3.382825439
SIRI,0,0.1298,1.4482,0.01,0,-19.66017964,(0.9818677163866929+0.00026705340370550236j),3.324495406
SWBI,2.1341,-0.0129,1,0.012,-0.0244,0.505883564,1,3.306376925
