COMPANY NAME,TICKER,EXCHANGE,STYLE,SUB-SECTOR,INDUSTRY,,,,,,
Abercrombie & Fitch,ANF,New York Stock,Small Value,Retail,Specialty retail,,,,,,
Co,,"Exchange, Inc.",,,,,,,,,
Acorn International,ATV,New York Stock,Not Available,Media,Advertising,,,,,,
Inc,,"Exchange, Inc.",,,agencies,,,,,,
Amazon.com Inc,AMZN,Nasdaq,Large Growth,Retail,Diversified retail,,,,,,
American Eagle,AEO,New York Stock,Small Value,Retail,Specialty retail,,,,,,
Outfitters Inc,,"Exchange, Inc.",,,,,,,,,
Aptiv PLC,APTV,New York Stock,Mid Growth,Auto & Auto Parts,Auto parts,,,,,,
,,"Exchange, Inc.",,,,,,,,,
Avon Products Inc,AVP,New York Stock,Small Growth,Consumer Products,Cosmetics,,,,,,
,,"Exchange, Inc.",,,,,,,,,
B2W - Companhia,BTOW3,"B3 S.A. - Brasil, Bolsa,",Large Growth,Retail,Diversified retail,,,,,,
Digital,,Balcão,,,,,,,,,
Bajaj Auto Ltd,532977,BSE LTD,Large Blend,Leisure,Recreational,,,,,,
,,,,,vehicles and boats,,,,,,
Barnes & Noble,BNED,New York Stock,Small Blend,Retail,Specialty retail,,,,,,
Education Inc,,"Exchange, Inc.",,,,,,,,,
Bata India Ltd,500043,BSE LTD,Mid Growth,Consumer Products,Textiles apparel,,,,,,
,,,,,and shoes,,,,,,
Bed Bath & Beyond,BBBY,Nasdaq,Small Value,Retail,Specialty retail,,,,,,
Inc,,,,,,,,,,,
Best Buy Co Inc,BBY,New York Stock,Mid Value,Retail,Specialty retail,,,,,,
,,"Exchange, Inc.",,,,,,,,,
BorgWarner Inc,BWA,New York Stock,Mid Value,Auto & Auto Parts,Auto parts,,,,,,
,,"Exchange, Inc.",,,,,,,,,
Bosch Ltd,500530,BSE LTD,Large Value,Auto & Auto Parts,Auto parts,,,,,,
Boyd Group Services,BYD,Toronto Stock Exchange,Mid Growth,Auto & Auto Parts,Auto services,,,,,,
Inc,,,,,,,,,,,
Build-A-Bear,BBW,New York Stock,Small Value,Retail,Specialty retail,,,,,,
Workshop Inc,,"Exchange, Inc.",,,,,,,,,
Burlington Stores Inc,BURL,New York Stock,Mid Growth,Retail,Specialty retail,,,,,,
,,"Exchange, Inc.",,,,,,,,,
Canada Goose,GOOS,Toronto Stock Exchange,Mid Growth,Consumer Products,Textiles apparel,,,,,,
Holdings Inc,,,,,and shoes,,,,,,
CarMax Inc,KMX,New York Stock,Mid Growth,Retail,Specialty retail,,,,,,
,,"Exchange, Inc.",,,,,,,,,
Carnival PLC,CCL,London Stock Exchange,Small Value,Leisure,Leisure time,,,,,,
Cheesecake Factory,CAKE,Nasdaq,Small Value,Leisure,Restaurants,,,,,,
Inc,,,,,,,,,,,
China Automotive,CAAS,Nasdaq,Small Value,Auto & Auto Parts,Auto parts,,,,,,
Systems Inc,,,,,,,,,,,
2,,,,,,,,,,,
,,2020-2021 Wharton Global High School Investment Competition Approved Stock List,,,,,,,,,
,,,EQUITY,RUSSELL ,RUSSELL,,,,,,
COMPANY NAME,TICKER,EXCHANGE,STYLE,SUB-SECTOR,INDUSTRY,,,,,,
China Tourism Group,601888,Shanghai Stock Exchange,Large Growth,Leisure,Hotel/motel,,,,,,
Duty Free Corp Ltd,,,,,,,,,,,
Chipotle Mexican Grill,CMG,New York Stock,Large Growth,Leisure,Restaurants,,,,,,
Inc,,"Exchange, Inc.",,,,,,,,,
Comcast Corp,CMCSA,Nasdaq,Large Value,Media,Cable television,,,,,,
,,,,,services,,,,,,
Compass Group PLC,CPG,London Stock Exchange,Large Blend,Consumer Services,Vending and,,,,,,
,,,,,catering services,,,,,,
Core-Mark Holding,CORE,Nasdaq,Small Blend,Retail,Diversified retail,,,,,,
Co Inc,,,,,,,,,,,
Costco Wholesale,COST,Nasdaq,Large Blend,Retail,Diversified retail,,,,,,
Corp,,,,,,,,,,,
Daily Journal Corp,DJCO,Nasdaq,Small Growth,Media,Publishing,,,,,,
Dollar General Corp,DG,New York Stock,Large Blend,Retail,Diversified retail,,,,,,
,,"Exchange, Inc.",,,,,,,,,
Dollar Tree Inc,DLTR,Nasdaq,Mid Blend,Retail,Diversified retail,,,,,,
Dollarama Inc,DOL,Toronto Stock Exchange,Mid Growth,Retail,Diversified retail,,,,,,
Domino’s Pizza Inc,DPZ,New York Stock,Mid Growth,Leisure,Restaurants,,,,,,
,,"Exchange, Inc.",,,,,,,,,
Foot Locker Inc,FL,New York Stock,Small Blend,Retail,Specialty retail,,,,,,
,,"Exchange, Inc.",,,,,,,,,
Ford Motor Co,F,New York Stock,Large Value,Auto & Auto Parts,Automobiles,,,,,,
,,"Exchange, Inc.",,,,,,,,,
Gap Inc,GPS,New York Stock,Mid Value,Retail,Specialty retail,,,,,,
,,"Exchange, Inc.",,,,,,,,,
General Motors Co,GM,New York Stock,Large Blend,Auto & Auto Parts,Automobiles,,,,,,
,,"Exchange, Inc.",,,,,,,,,
H&R Block Inc,HRB,New York Stock,Small Value,Consumer Services,Consumer services:,,,,,,
,,"Exchange, Inc.",,,Miscellaneous,,,,,,
Harley-Davidson Inc,HOG,New York Stock,Small Value,Leisure,Recreational,,,,,,
,,"Exchange, Inc.",,,vehicles and boats,,,,,,
Hasbro Inc,HAS,Nasdaq,Mid Blend,Consumer Products,Toys,,,,,,
Hero MotoCorp Ltd,500182,BSE LTD,Large Value,Leisure,Recreational,,,,,,
,,,,,vehicles and boats,,,,,,
Hibbett Sports Inc,HIBB,Nasdaq,Small Blend,Retail,Specialty retail,,,,,,
Honda Motor Co Ltd,HMC,New York Stock,Large Value,Auto & Auto Parts,Automobiles,,,,,,
,,"Exchange, Inc.",,,,,,,,,
Hostelworld Group,HSW,London Stock Exchange,Small Value,Leisure,Leisure time,,,,,,
PLC,,,,,,,,,,,
Hyatt Hotels Corp,H,New York Stock,Mid Blend,Leisure,Hotel/motel,,,,,,
,,"Exchange, Inc.",,,,,,,,,
